Book,Chapter,PERSON,GPE,TIME,LAW,EVENT
01-Genesis,001,1,0,10,0,0
01-Genesis,002,8,3,1,0,0
01-Genesis,003,10,2,0,0,0
01-Genesis,004,25,13,2,0,0
01-Genesis,005,30,9,1,0,0
01-Genesis,006,12,4,0,0,0
01-Genesis,007,15,2,2,0,0
01-Genesis,008,10,3,2,0,0
01-Genesis,009,16,0,0,0,0
01-Genesis,010,37,18,1,0,0
01-Genesis,011,30,9,0,0,0
01-Genesis,012,13,8,0,0,2
01-Genesis,013,5,11,0,0,0
01-Genesis,014,12,16,2,0,0
01-Genesis,015,6,3,0,0,0
01-Genesis,016,19,6,0,0,0
01-Genesis,017,20,0,1,0,0
01-Genesis,018,36,2,0,0,0
01-Genesis,019,14,5,12,0,0
01-Genesis,020,20,2,2,0,0
01-Genesis,021,40,6,5,0,0
01-Genesis,022,30,1,1,0,0
01-Genesis,023,23,3,0,0,0
01-Genesis,024,40,3,8,0,0
01-Genesis,025,41,13,0,0,0
01-Genesis,026,39,9,3,0,0
01-Genesis,027,42,1,3,0,0
01-Genesis,028,23,2,4,0,0
01-Genesis,029,44,1,2,0,0
01-Genesis,030,42,2,2,0,0
01-Genesis,031,39,1,12,0,0
01-Genesis,032,20,5,5,0,0
01-Genesis,033,12,2,1,0,0
01-Genesis,034,24,3,0,0,0
01-Genesis,035,39,16,3,0,0
01-Genesis,036,65,35,0,0,0
01-Genesis,037,17,10,3,0,0
01-Genesis,038,29,7,0,0,0
01-Genesis,039,21,1,1,0,0
01-Genesis,040,10,5,4,0,1
01-Genesis,041,20,21,3,0,2
01-Genesis,042,21,4,0,0,0
01-Genesis,043,17,5,2,0,0
01-Genesis,044,6,1,2,0,0
01-Genesis,045,19,12,0,0,2
01-Genesis,046,49,43,1,0,1
01-Genesis,047,23,20,2,0,6
01-Genesis,048,19,11,1,0,0
01-Genesis,049,18,11,2,0,0
01-Genesis,050,25,11,1,0,0
02-Exodus,001,9,9,2,0,0
02-Exodus,002,5,3,1,0,1
02-Exodus,003,10,13,3,0,1
02-Exodus,004,28,5,0,0,1
02-Exodus,005,10,5,1,0,3
02-Exodus,006,33,34,0,0,0
02-Exodus,007,25,11,1,0,3
02-Exodus,008,26,12,1,0,4
02-Exodus,009,25,18,1,0,1
02-Exodus,010,26,15,1,0,3
02-Exodus,011,9,7,0,0,2
02-Exodus,012,23,23,9,0,2
02-Exodus,013,15,13,5,0,0
02-Exodus,014,19,17,2,0,3
02-Exodus,015,16,4,1,0,0
02-Exodus,016,30,7,15,0,0
02-Exodus,017,15,5,0,0,0
02-Exodus,018,13,12,2,0,1
02-Exodus,019,19,5,1,0,0
02-Exodus,020,9,1,0,0,0
02-Exodus,021,0,0,0,0,0
02-Exodus,022,2,1,0,0,0
02-Exodus,023,4,4,2,0,3
02-Exodus,024,14,9,2,0,0
02-Exodus,025,2,2,0,0,0
02-Exodus,026,0,0,0,0,0
02-Exodus,027,2,0,1,0,0
02-Exodus,028,22,8,3,0,0
02-Exodus,029,27,4,2,0,0
02-Exodus,030,17,3,1,0,0
02-Exodus,031,10,3,1,0,0
02-Exodus,032,23,10,2,0,0
02-Exodus,033,13,2,0,0,0
02-Exodus,034,16,6,7,0,2
02-Exodus,035,18,2,0,0,0
02-Exodus,036,7,0,4,0,0
02-Exodus,037,1,1,0,0,0
02-Exodus,038,4,2,1,0,0
02-Exodus,039,14,3,5,0,0
02-Exodus,040,20,2,3,0,0
03-Leviticus,001,10,3,0,0,0
03-Leviticus,002,12,2,0,0,0
03-Leviticus,003,11,3,0,0,0
03-Leviticus,004,13,4,0,0,0
03-Leviticus,005,8,0,0,0,0
