Book,Chapter,Entity_Type,Entity_Name,Count
01-Genesis,001,PERSON,God,1
01-Genesis,001,TIME,evening,6
01-Genesis,001,TIME,the night,1
01-Genesis,001,TIME,night,1
01-Genesis,002,PERSON,Jehovah,5
01-Genesis,002,PERSON,bush,1
01-Genesis,002,GPE,Eden,3
01-Genesis,002,GPE,Cush,1
01-Genesis,002,GPE,bonesAnd,1
01-Genesis,003,PERSON,Jehovah,6
01-Genesis,003,PERSON,Adam,3
01-Genesis,003,PERSON,Eve,1
01-Genesis,003,GPE,Eden,2
01-Genesis,004,PERSON,Adam,2
01-Genesis,004,PERSON,Eve,1
01-Genesis,004,PERSON,Abel,8
01-Genesis,004,PERSON,Jehovah,7
01-Genesis,004,PERSON,Lamech,3
01-Genesis,004,PERSON,Zillah,2
01-Genesis,004,PERSON,Seth,2
01-Genesis,004,PERSON,Enosh,1
01-Genesis,004,GPE,Jehovah,3
01-Genesis,004,GPE,Eden,1
01-Genesis,004,GPE,Enoch,3
01-Genesis,004,GPE,Irad,2
01-Genesis,004,GPE,Lamech,1
01-Genesis,004,GPE,Adah,2
01-Genesis,004,GPE,Zillah,1
01-Genesis,004,GPE,Jubal,1
01-Genesis,004,TIME,14 ,1
01-Genesis,005,PERSON,Adam,5
01-Genesis,005,PERSON,Seth,4
01-Genesis,005,PERSON,Enosh,4
01-Genesis,005,PERSON,Kenan,4
01-Genesis,005,PERSON,Methuselah,4
01-Genesis,005,PERSON,Noah,3
01-Genesis,005,PERSON,Jehovah,1
01-Genesis,005,PERSON,Lamech,1
01-Genesis,005,PERSON,Shem,1
01-Genesis,005,PERSON,Japheth,1
01-Genesis,005,GPE,Kenan,1
01-Genesis,005,GPE,Enoch,6
01-Genesis,005,GPE,Lamech,3
01-Genesis,006,PERSON,Jehovah,3
01-Genesis,006,PERSON,Noah,7
01-Genesis,006,PERSON,Shem,1
01-Genesis,006,PERSON,Japheth,1
01-Genesis,006,PERSON,God,1
01-Genesis,006,GPE,Jehovah,1
01-Genesis,006,GPE,ark,3
01-Genesis,006,TIME,9 This,1
01-Genesis,007,PERSON,Jehovah,3
01-Genesis,007,PERSON,Noah,9
01-Genesis,007,PERSON,Shem,1
01-Genesis,007,PERSON,Japheth,1
01-Genesis,007,GPE,ark,2
01-Genesis,007,TIME,40 nights,2
01-Genesis,008,PERSON,Noah,7
01-Genesis,008,PERSON,Jehovah,3
01-Genesis,008,GPE,ark,2
01-Genesis,008,TIME,13 Now,1
01-Genesis,008,TIME,15 God now,1
01-Genesis,009,PERSON,Noah,9
01-Genesis,009,PERSON,Shem,4
01-Genesis,009,PERSON,Japheth,3
