

AMU,Amuzgo de Guerrero (AMU)
ERV-AR,Arabic Bible: Easy-to-Read Version (ERV-AR)
NAV,Ketab El Hayat (NAV)
ERV-AWA,Awadhi Bible: Easy-to-Read Version (ERV-AWA)
BG1940,1940 Bulgarian Bible (BG1940)
BULG,Bulgarian Bible (BULG)
ERV-BG,Bulgarian New Testament: Easy-to-Read Version (ERV-BG)
CBT,Библия: нов превод от оригиналните езици (с неканоничните книги) (CBT)
BOB,Библия: синодално издание (BOB)
BPB,Библия: ревизирано издание (BPB)
CCO,Chinanteco de Comaltepec (CCO)
APSD-CEB,Ang Pulong Sa Dios (APSD-CEB)
CHR,Cherokee New Testament (CHR)
KSS,Kurdi Sorani Standard (KSS)
CKW,Cakchiquel Occidental (CKW)
B21,Bible 21 (B21)
SNC,Slovo na cestu (SNC)
BWM,Beibl William Morgan (BWM)
BPH,Bibelen på hverdagsdansk (BPH)
DN1933,Dette er Biblen på dansk (DN1933)
HOF,Hoffnung für Alle (HOF)
LUTH1545,Luther Bibel 1545 (LUTH1545)
NGU-DE,Neue Genfer Übersetzung (NGU-DE)
SCH1951,Schlachter 1951 (SCH1951)
SCH2000,Schlachter 2000 (SCH2000)
KJ21,21st Century King James Version (KJ21)
ASV,American Standard Version (ASV)
AMP,Amplified Bible (AMP)
AMPC,Amplified Bible: Classic Edition (AMPC)
BRG,BRG Bible (BRG)
CSB,Christian Standard Bible (CSB)
CEB,Common English Bible (CEB)
CJB,Complete Jewish Bible (CJB)
CEV,Contemporary English Version (CEV)
DARBY,Darby Translation (DARBY)
DLNT,Disciples’ Literal New Testament (DLNT)
DRA,Douay-Rheims 1899 American Edition (DRA)
ERV,Easy-to-Read Version (ERV)
EASY,EasyEnglish Bible (EASY)
EHV,Evangelical Heritage Version (EHV)
ESV,English Standard Version (ESV)
ESVUK,English Standard Version Anglicised (ESVUK)
EXB,Expanded Bible (EXB)
GNV,1599 Geneva Bible (GNV)
GW,GOD’S WORD Translation (GW)
GNT,Good News Translation (GNT)
HCSB,Holman Christian Standard Bible (HCSB)
ICB,International Children’s Bible (ICB)
ISV,International Standard Version (ISV)
PHILLIPS,J.B. Phillips New Testament (PHILLIPS)
JUB,Jubilee Bible 2000 (JUB)
KJV,King James Version (KJV)
AKJV,Authorized (King James) Version (AKJV)
LSB,Legacy Standard Bible (LSB)
LEB,Lexham English Bible (LEB)
TLB,Living Bible (TLB)
MSG,The Message (MSG)
MEV,Modern English Version (MEV)
MOUNCE,Mounce Reverse Interlinear New Testament (MOUNCE)
NOG,Names of God Bible (NOG)
NABRE,New American Bible (Revised Edition) (NABRE)
NASB,New American Standard Bible (NASB)
NASB1995,New American Standard Bible 1995 (NASB1995)
NCB,New Catholic Bible (NCB)
NCV,New Century Version (NCV)
NET,New English Translation (NET)
NIRV,New International Reader's Version (NIRV)
NIV,New International Version (NIV)
NIVUK,New International Version - UK (NIVUK)
