lines/Paragraphs,wordsCount,characterCount,bookNumber,bookName,chapterNumber
   17361,  809924, 4391342, **total**,,
     205,    2479,   14034, 19,Psalms,119
      16,    2207,   11717, 11,1 Kings,008
      22,    1984,   10585, 05,Deuteronomy,028
      17,    1974,   10701, 04,Numbers,007
      13,    1901,    9834, 01,Genesis,024
      16,    1873,   10631, 26,Ezekiel,016
     121,    1820,   10375, 24,Jeremiah,051
      13,    1813,    9318, 03,Leviticus,013
      17,    1798,    9681, 09,1 Samuel,017
      14,    1762,    9200, 40,Matthew,026
      13,    1742,    9115, 41,Mark,014
      23,    1694,    8772, 27,Daniel,011
      17,    1688,    9137, 26,Ezekiel,020
      12,    1647,    8869, 42,Luke,001
      14,    1641,    8683, 03,Leviticus,014
      13,    1603,    8206, 43,John,006
      15,    1602,    8884, 09,1 Samuel,014
      17,    1587,    8783, 07,Judges,009
      14,    1578,    8252, 03,Leviticus,025
      10,    1561,    8625, 11,1 Kings,001
      11,    1553,    8115, 01,Genesis,031
      24,    1551,    8257, 27,Daniel,002
       9,    1545,    8212, 44,Acts,007
      14,    1543,    8066, 42,Luke,022
      16,    1538,    8653, 11,1 Kings,022
      12,    1529,    8050, 05,Deuteronomy,004
      12,    1527,    8069, 42,Luke,009
      14,    1503,    8226, 11,1 Kings,002
      11,    1492,    7883, 42,Luke,008
      25,    1491,    7752, 26,Ezekiel,040
      15,    1487,    7846, 01,Genesis,041
      12,    1485,    7702, 14,2 Chronicles,006
      14,    1480,    7752, 40,Matthew,013
      11,    1472,    8027, 12,2 Kings,023
      13,    1460,    7851, 40,Matthew,027
      13,    1455,    7663, 02,Exodus,012
      12,    1454,    7762, 11,1 Kings,018
      12,    1452,    7799, 24,Jeremiah,032
       9,    1446,    7626, 42,Luke,012
      91,    1443,    8385, 24,Jeremiah,050
      17,    1439,    7686, 11,1 Kings,020
      13,    1431,    7385, 10,2 Samuel,019
      15,    1418,    7591, 11,1 Kings,007
      10,    1417,    7804, 16,Nehemiah,009
      10,    1382,    6964, 12,2 Kings,004
      15,    1377,    7808, 26,Ezekiel,023
      12,    1369,    7203, 42,Luke,011
      21,    1365,    8315, 04,Numbers,026
       8,    1364,    7126, 41,Mark,006
      13,    1358,    7202, 09,1 Samuel,025
      20,    1356,    7275, 27,Daniel,004
      10,    1353,    6927, 46,1 Corinthians,015
      14,    1352,    7420, 04,Numbers,016
      17,    1343,    7546, 07,Judges,020
      13,    1338,    6790, 02,Exodus,029
      12,    1332,    7318, 44,Acts,013
      12,    1313,    6906, 03,Leviticus,026
      12,    1312,    6684, 01,Genesis,027
      10,    1308,    7079, 11,1 Kings,011
       7,    1292,    6659, 42,Luke,007
      18,    1290,    7169, 06,Joshua,010
      13,    1288,    7298, 12,2 Kings,017
      16,    1286,    7996, 13,1 Chronicles,006
      13,    1281,    6923, 04,Numbers,004
       9,    1280,    6799, 09,1 Samuel,020
       9,    1277,    6700, 05,Deuteronomy,001
      67,    1274,    7088, 24,Jeremiah,031
      10,    1260,    6755, 07,Judges,006
      63,    1259,    7035, 05,Deuteronomy,032
      20,    1258,    6515, 42,Luke,006
       8,    1248,    6556, 43,John,011
      10,    1246,    6891, 12,2 Kings,009
       8,    1245,    6844, 12,2 Kings,018
      15,    1233,    6700, 12,2 Kings,010
      11,    1232,    6617, 04,Numbers,014
      12,    1230,    6634, 03,Leviticus,023
       8,    1225,    6482, 41,Mark,010
       9,    1224,    6495, 24,Jeremiah,044
      16,    1215,    6925, 04,Numbers,003
      10,    1214,    6893, 06,Joshua,022
      72,    1210,    6891, 19,Psalms,078
      13,    1210,    6732, 07,Judges,011
       9,    1208,    6314, 41,Mark,009
       9,    1203,    6363, 40,Matthew,012
      50,    1198,    6770, 24,Jeremiah,023
      10,    1198,    6609, 26,Ezekiel,036
       8,    1195,    6332, 43,John,004
       5,    1193,    5904, 43,John,008
       9,    1192,    6542, 14,2 Chronicles,034
       9,    1190,    6167, 43,John,012
       8,    1187,    6440, 42,Luke,023
      72,    1185,    6941, 24,Jeremiah,049
      10,    1184,    6613, 04,Numbers,031
      12,    1171,    6288, 40,Matthew,021
