bookNumber,chapterNumber,totalVerses
Genesis,01,001,031
Genesis,01,002,025
Genesis,01,003,024
Genesis,01,004,026
Genesis,01,005,032
Genesis,01,006,022
Genesis,01,007,024
Genesis,01,008,022
Genesis,01,009,029
Genesis,01,010,032
Genesis,01,011,032
Genesis,01,012,020
Genesis,01,013,018
Genesis,01,014,024
Genesis,01,015,021
Genesis,01,016,016
Genesis,01,017,027
Genesis,01,018,033
Genesis,01,019,038
Genesis,01,020,018
Genesis,01,021,034
Genesis,01,022,024
Genesis,01,023,020
Genesis,01,024,067
Genesis,01,025,034
Genesis,01,026,035
Genesis,01,027,046
Genesis,01,028,022
Genesis,01,029,035
Genesis,01,030,043
Genesis,01,031,055
Genesis,01,032,032
Genesis,01,033,020
Genesis,01,034,031
Genesis,01,035,029
Genesis,01,036,043
Genesis,01,037,036
Genesis,01,038,030
Genesis,01,039,023
Genesis,01,040,023
Genesis,01,041,057
Genesis,01,042,038
Genesis,01,043,034
Genesis,01,044,034
Genesis,01,045,028
Genesis,01,046,034
Genesis,01,047,031
Genesis,01,048,022
Genesis,01,049,033
Genesis,01,050,026
Exodus,02,001,022
Exodus,02,002,025
Exodus,02,003,022
Exodus,02,004,031
Exodus,02,005,023
Exodus,02,006,030
Exodus,02,007,025
Exodus,02,008,032
Exodus,02,009,035
Exodus,02,010,029
Exodus,02,011,010
Exodus,02,012,051
Exodus,02,013,022
Exodus,02,014,031
Exodus,02,015,027
Exodus,02,016,036
Exodus,02,017,016
Exodus,02,018,027
Exodus,02,019,025
Exodus,02,020,026
Exodus,02,021,036
Exodus,02,022,031
Exodus,02,023,033
Exodus,02,024,018
Exodus,02,025,040
Exodus,02,026,037
Exodus,02,027,021
Exodus,02,028,043
Exodus,02,029,046
Exodus,02,030,038
Exodus,02,031,018
Exodus,02,032,035
Exodus,02,033,023
Exodus,02,034,035
Exodus,02,035,035
Exodus,02,036,038
Exodus,02,037,029
Exodus,02,038,031
Exodus,02,039,043
Exodus,02,040,038
Leviticus,03,001,017
Leviticus,03,002,016
Leviticus,03,003,017
Leviticus,03,004,035
Leviticus,03,005,019
Leviticus,03,006,030
Leviticus,03,007,038
Leviticus,03,008,036
Leviticus,03,009,024
Leviticus,03,010,020
Leviticus,03,011,047
Leviticus,03,012,008
Leviticus,03,013,059
Leviticus,03,014,057
Leviticus,03,015,033
Leviticus,03,016,034
Leviticus,03,017,016
Leviticus,03,018,030
Leviticus,03,019,037
Leviticus,03,020,027
Leviticus,03,021,024
Leviticus,03,022,033
Leviticus,03,023,044
Leviticus,03,024,023
Leviticus,03,025,055
Leviticus,03,026,046
Leviticus,03,027,034
Numbers,04,001,054
Numbers,04,002,034
Numbers,04,003,051
Numbers,04,004,049
Numbers,04,005,031
Numbers,04,006,027
Numbers,04,007,089
Numbers,04,008,026
Numbers,04,009,023
Numbers,04,010,036
Numbers,04,011,035
Numbers,04,012,016
Numbers,04,013,033
Numbers,04,014,045
Numbers,04,015,041
Numbers,04,016,050
Numbers,04,017,013
Numbers,04,018,032
Numbers,04,019,022
Numbers,04,020,029
Numbers,04,021,035
Numbers,04,022,041
Numbers,04,023,030
Numbers,04,024,025
Numbers,04,025,018
Numbers,04,026,065
Numbers,04,027,023
Numbers,04,028,031
Numbers,04,029,040
Numbers,04,030,016
Numbers,04,031,054
Numbers,04,032,042
Numbers,04,033,056
Numbers,04,034,029
Numbers,04,035,034
Numbers,04,036,013
Deuteronomy,05,001,046
Deuteronomy,05,002,037
Deuteronomy,05,003,029
Deuteronomy,05,004,049
Deuteronomy,05,005,033
Deuteronomy,05,006,025
Deuteronomy,05,007,026
Deuteronomy,05,008,020
Deuteronomy,05,009,029
Deuteronomy,05,010,022
Deuteronomy,05,011,032
Deuteronomy,05,012,032
Deuteronomy,05,013,018
Deuteronomy,05,014,029
Deuteronomy,05,015,023
Deuteronomy,05,016,022
Deuteronomy,05,017,020
Deuteronomy,05,018,022
Deuteronomy,05,019,021
Deuteronomy,05,020,020
Deuteronomy,05,021,023
Deuteronomy,05,022,030
Deuteronomy,05,023,025
Deuteronomy,05,024,022
Deuteronomy,05,025,019
Deuteronomy,05,026,019
Deuteronomy,05,027,026
Deuteronomy,05,028,068
Deuteronomy,05,029,029
Deuteronomy,05,030,020
Deuteronomy,05,031,030
Deuteronomy,05,032,052
Deuteronomy,05,033,029
Deuteronomy,05,034,012
Joshua,06,001,018
Joshua,06,002,024
Joshua,06,003,017
Joshua,06,004,024
Joshua,06,005,015
Joshua,06,006,027
Joshua,06,007,026
Joshua,06,008,035
Joshua,06,009,027
Joshua,06,010,043
Joshua,06,011,023
Joshua,06,012,024
Joshua,06,013,033
Joshua,06,014,015
Joshua,06,015,063
Joshua,06,016,010
Joshua,06,017,018
Joshua,06,018,028
Joshua,06,019,051
Joshua,06,020,009
Joshua,06,021,045
Joshua,06,022,034
Joshua,06,023,016
Joshua,06,024,033
Judges,07,001,036
Judges,07,002,023
Judges,07,003,031
Judges,07,004,024
Judges,07,005,031
Judges,07,006,040
Judges,07,007,025
Judges,07,008,035
Judges,07,009,057
Judges,07,010,018
Judges,07,011,040
Judges,07,012,015
Judges,07,013,025
Judges,07,014,020
Judges,07,015,020
Judges,07,016,031
Judges,07,017,013
Judges,07,018,031
Judges,07,019,030
Judges,07,020,048
Judges,07,021,025
Ruth,08,001,022
Ruth,08,002,023
Ruth,08,003,018
Ruth,08,004,022
1 Samuel,09,001,028
1 Samuel,09,002,036
1 Samuel,09,003,021
1 Samuel,09,004,022
1 Samuel,09,005,012
1 Samuel,09,006,021
1 Samuel,09,007,017
1 Samuel,09,008,022
1 Samuel,09,009,027
1 Samuel,09,010,027
1 Samuel,09,011,015
1 Samuel,09,012,025
1 Samuel,09,013,023
1 Samuel,09,014,052
1 Samuel,09,015,035
1 Samuel,09,016,023
1 Samuel,09,017,058
1 Samuel,09,018,030
1 Samuel,09,019,024
1 Samuel,09,020,042
1 Samuel,09,021,015
1 Samuel,09,022,023
1 Samuel,09,023,029
1 Samuel,09,024,022
1 Samuel,09,025,044
1 Samuel,09,026,025
1 Samuel,09,027,012
1 Samuel,09,028,025
1 Samuel,09,029,011
1 Samuel,09,030,031
1 Samuel,09,031,013
2 Samuel,10,001,027
2 Samuel,10,002,032
2 Samuel,10,003,039
2 Samuel,10,004,012
2 Samuel,10,005,025
2 Samuel,10,006,023
2 Samuel,10,007,029
2 Samuel,10,008,018
2 Samuel,10,009,013
2 Samuel,10,010,019
2 Samuel,10,011,027
2 Samuel,10,012,031
2 Samuel,10,013,039
2 Samuel,10,014,033
2 Samuel,10,015,037
2 Samuel,10,016,023
2 Samuel,10,017,029
2 Samuel,10,018,033
2 Samuel,10,019,043
2 Samuel,10,020,026
2 Samuel,10,021,022
2 Samuel,10,022,051
2 Samuel,10,023,039
2 Samuel,10,024,025
1 Kings,11,001,053
1 Kings,11,002,046
1 Kings,11,003,028
1 Kings,11,004,034
1 Kings,11,005,018
1 Kings,11,006,038
1 Kings,11,007,051
1 Kings,11,008,066
1 Kings,11,009,028
1 Kings,11,010,029
1 Kings,11,011,043
1 Kings,11,012,033
1 Kings,11,013,034
1 Kings,11,014,031
1 Kings,11,015,034
1 Kings,11,016,034
1 Kings,11,017,024
1 Kings,11,018,046
1 Kings,11,019,021
1 Kings,11,020,043
1 Kings,11,021,029
1 Kings,11,022,053
2 Kings,12,001,018
2 Kings,12,002,025
2 Kings,12,003,027
2 Kings,12,004,044
2 Kings,12,005,027
2 Kings,12,006,033
2 Kings,12,007,020
2 Kings,12,008,029
2 Kings,12,009,037
2 Kings,12,010,036
2 Kings,12,011,021
2 Kings,12,012,021
2 Kings,12,013,025
2 Kings,12,014,029
2 Kings,12,015,038
2 Kings,12,016,020
2 Kings,12,017,041
2 Kings,12,018,037
2 Kings,12,019,037
2 Kings,12,020,021
2 Kings,12,021,026
2 Kings,12,022,020
2 Kings,12,023,037
2 Kings,12,024,020
2 Kings,12,025,030
