Book,Chapter,Verse,Type,Text
genesis,1,3,PERSON,God
genesis,1,5,DATE,the light Day
genesis,1,5,DATE,a first day
genesis,1,13,DATE,a third day
genesis,1,14,DATE,between the day
genesis,1,14,DATE,days
genesis,1,14,DATE,years
genesis,1,16,DATE,the day
genesis,1,18,DATE,day
genesis,1,19,DATE,a fourth day
genesis,1,23,DATE,a fifth day
genesis,1,31,DATE,a sixth day
genesis,2,2,DATE,the seventh day
genesis,2,2,DATE,the seventh day
genesis,2,3,DATE,the seventh day
genesis,2,4,PERSON,Jehovah
genesis,2,4,DATE,the day
genesis,2,5,PERSON,bush
genesis,2,5,PERSON,Jehovah
genesis,2,7,PERSON,Jehovah
genesis,2,8,PERSON,Jehovah
genesis,2,8,GPE,Eden
genesis,2,10,GPE,Eden
genesis,2,11,PERSON,Havilah
genesis,2,11,ORG,Pishon
genesis,2,13,PERSON,Gihon
genesis,2,13,PERSON,Cush
genesis,2,14,GPE,Assyria
genesis,2,15,GPE,Eden
genesis,2,17,DATE,the day
genesis,2,19,PERSON,Jehovah
genesis,2,22,PERSON,Jehovah
genesis,3,1,PERSON,Jehovah
genesis,3,5,DATE,the very day
genesis,3,8,PERSON,Jehovah
genesis,3,8,DATE,the day
genesis,3,9,PERSON,Jehovah
genesis,3,17,PERSON,Adam
genesis,3,20,PERSON,Adam
genesis,3,20,PERSON,Eve
genesis,3,21,PERSON,Jehovah
genesis,3,21,PERSON,Adam
genesis,3,23,PERSON,Jehovah
genesis,3,23,GPE,Eden
genesis,3,24,GPE,Eden
genesis,4,1,PERSON,Adam
genesis,4,1,PERSON,Eve
genesis,4,1,GPE,Jehovah
genesis,4,1,ORG,Cain
genesis,4,2,PERSON,Abel
genesis,4,2,PERSON,Abel
genesis,4,2,ORG,Cain
genesis,4,2,OCCUPATION,shepherd
genesis,4,3,PERSON,Jehovah
genesis,4,3,ORG,Cain
genesis,4,4,PERSON,Abel
genesis,4,4,PERSON,Jehovah
genesis,4,4,PERSON,Abel
genesis,4,5,ORG,Cain
genesis,4,5,ORG,Cain
genesis,4,6,PERSON,Jehovah
genesis,4,8,PERSON,Abel
genesis,4,8,PERSON,Abel
genesis,4,8,ORG,Cain
genesis,4,8,ORG,Cain
genesis,4,9,PERSON,Jehovah
genesis,4,9,PERSON,Abel
genesis,4,13,PERSON,Jehovah
genesis,4,13,ORG,Cain
genesis,4,14,DATE,Today
genesis,4,15,PERSON,Jehovah
genesis,4,15,PERSON,Jehovah
genesis,4,15,ORG,Cain
genesis,4,16,PERSON,Jehovah
genesis,4,16,GPE,Eden
genesis,4,16,ORG,Exile
genesis,4,17,PERSON,Enoch
genesis,4,17,ORG,Afterward Cain
genesis,4,18,PERSON,Irad
genesis,4,18,PERSON,Irad
genesis,4,18,PERSON,Mehujael
genesis,4,18,PERSON,Mehujael
genesis,4,18,PERSON,Methushael
genesis,4,18,PERSON,Methushael
genesis,4,18,ORG,Lamech
genesis,4,19,PERSON,Zillah
genesis,4,19,GPE,Adah
genesis,4,19,ORG,Lamech
genesis,4,21,GPE,Jubal
genesis,4,22,PERSON,Zillah
genesis,4,22,PERSON,Naamah
genesis,4,22,ORG,Tubal
genesis,4,22,ORG,Tubal
genesis,4,23,PERSON,Zillah
genesis,4,23,GPE,Adah
genesis,4,23,ORG,Lamech
genesis,4,25,PERSON,Adam
genesis,4,25,PERSON,Seth
genesis,4,25,PERSON,Abel
genesis,4,25,ORG,Cain
genesis,4,26,PERSON,Seth
genesis,4,26,GPE,Jehovah
genesis,5,1,PERSON,Adam
genesis,5,1,DATE,the day
genesis,5,1,ORG,Adams
genesis,5,2,DATE,the day
genesis,5,3,PERSON,Adam
genesis,5,3,PERSON,Seth
genesis,5,3,DATE,130 years
genesis,5,4,PERSON,Seth
genesis,5,4,PERSON,Adam
genesis,5,4,DATE,800 years
genesis,5,5,DATE,930 years
genesis,5,5,ORG,Adams
genesis,5,6,PERSON,Seth
genesis,5,6,DATE,105 years
genesis,5,6,GPE,Enosh
genesis,5,7,PERSON,Enosh
genesis,5,7,PERSON,Seth
genesis,5,7,DATE,807 years
genesis,5,8,PERSON,Seth
genesis,5,8,DATE,912 years
genesis,5,9,DATE,90 years
genesis,5,9,GPE,Kenan
genesis,5,10,PERSON,Enosh
genesis,5,10,DATE,815 years
genesis,5,10,GPE,Kenan
genesis,5,11,DATE,905 years
genesis,5,12,PERSON,Mahalalel
genesis,5,12,DATE,70 years
genesis,5,12,GPE,Kenan
genesis,5,13,DATE,840 years
genesis,5,13,GPE,Mahalalel
genesis,5,13,GPE,Kenan
genesis,5,14,DATE,910 years
genesis,5,14,GPE,Kenan
genesis,5,15,PERSON,Mahalalel
genesis,5,15,DATE,65 years
genesis,5,16,PERSON,Mahalalel
genesis,5,16,DATE,830 years
genesis,5,17,DATE,895 years
genesis,5,17,GPE,Mahalalel
genesis,5,18,DATE,162 years
genesis,5,19,PERSON,Enoch
genesis,5,19,DATE,800 years
genesis,5,20,DATE,962 years
genesis,5,21,PERSON,Enoch
genesis,5,21,DATE,65 years
genesis,5,21,GPE,Methuselah
genesis,5,22,PERSON,Methuselah
genesis,5,22,PERSON,Enoch
genesis,5,22,DATE,300 years
genesis,5,23,PERSON,Enoch
genesis,5,23,DATE,365 years
genesis,5,25,DATE,187 years
genesis,5,25,ORG,Methuselah
genesis,5,25,ORG,Lamech
genesis,5,26,PERSON,Methuselah
genesis,5,26,DATE,782 years
genesis,5,26,ORG,Lamech
genesis,5,27,DATE,969 years
genesis,5,27,GPE,Methuselah
genesis,5,28,DATE,182 years
genesis,5,28,ORG,Lamech
genesis,5,29,PERSON,Noah
genesis,5,29,PERSON,Jehovah
genesis,5,30,PERSON,Noah
genesis,5,30,DATE,595 years
genesis,5,30,ORG,Lamech
genesis,5,31,DATE,777 years
genesis,5,31,ORG,Lamech
genesis,5,32,PERSON,Noah
genesis,5,32,PERSON,Shem
genesis,5,32,PERSON,Japheth
genesis,5,32,DATE,500 years of age
genesis,6,3,PERSON,Jehovah
genesis,6,3,DATE,120 years
genesis,6,4,DATE,those days
genesis,6,4,ORG,Nephilim
genesis,6,5,PERSON,Jehovah
genesis,6,5,NORP,mans
genesis,6,6,PERSON,Jehovah
genesis,6,7,PERSON,Jehovah
genesis,6,8,PERSON,Noah
genesis,6,8,GPE,Jehovah
genesis,6,9,PERSON,Noah
genesis,6,9,PERSON,Noah
genesis,6,9,PERSON,Noah
genesis,6,10,PERSON,Noah
genesis,6,10,PERSON,Shem
genesis,6,10,PERSON,Japheth
genesis,6,13,PERSON,Noah
genesis,6,14,GPE,ark
genesis,6,16,GPE,ark
genesis,6,16,GPE,ark
genesis,6,22,PERSON,Noah
genesis,7,1,PERSON,Jehovah
genesis,7,1,PERSON,Noah
genesis,7,4,DATE,just seven days
genesis,7,4,DATE,40 days
genesis,7,5,PERSON,Noah
genesis,7,5,PERSON,Jehovah
genesis,7,6,PERSON,Noah
genesis,7,6,DATE,600 years old
genesis,7,7,PERSON,Noah
genesis,7,9,PERSON,Noah
genesis,7,9,PERSON,Noah
genesis,7,10,DATE,seven days later
genesis,7,11,DATE,the 600th year
genesis,7,11,DATE,the second month
genesis,7,11,DATE,the 17th day of the month
genesis,7,11,DATE,that day
genesis,7,11,ORG,Noahs
genesis,7,12,DATE,40 days
genesis,7,13,PERSON,Noah
genesis,7,13,PERSON,Shem
genesis,7,13,PERSON,Japheth
genesis,7,13,DATE,that very day
genesis,7,15,PERSON,Noah
genesis,7,16,PERSON,Jehovah
genesis,7,17,DATE,40 days
genesis,7,17,GPE,ark
genesis,7,23,PERSON,Noah
genesis,7,23,GPE,ark
genesis,7,24,DATE,150 days
genesis,8,1,PERSON,Noah
genesis,8,3,DATE,the end of 150 days
genesis,8,4,DATE,the seventh month
genesis,8,4,DATE,the 17th day of the month
genesis,8,4,ORG,Ararat
genesis,8,5,DATE,the tenth month
genesis,8,5,DATE,the tenth month
genesis,8,5,DATE,the first of the month
genesis,8,6,PERSON,Noah
genesis,8,6,DATE,the end of 40 days
genesis,8,6,GPE,ark
genesis,8,10,DATE,seven more days
genesis,8,10,GPE,ark
genesis,8,11,PERSON,Noah
genesis,8,12,DATE,another seven days
genesis,8,13,PERSON,Noah
genesis,8,13,DATE,the first month
genesis,8,13,DATE,the first day of the month
genesis,8,14,DATE,the second month
genesis,8,14,DATE,the 27th day of the month
genesis,8,15,PERSON,Noah
genesis,8,18,PERSON,Noah
genesis,8,19,GPE,ark
genesis,8,20,PERSON,Noah
genesis,8,20,PERSON,Jehovah
genesis,8,21,PERSON,Jehovah
genesis,8,21,PERSON,Jehovah
genesis,8,21,NORP,mans
genesis,8,22,DATE,summer
genesis,9,1,PERSON,Noah
genesis,9,8,PERSON,Noah
genesis,9,17,PERSON,Noah
genesis,9,18,PERSON,Shem
genesis,9,18,PERSON,Japheth
genesis,9,18,GPE,Canaan
genesis,9,18,ORG,Noahs
genesis,9,19,ORG,Noahs
genesis,9,20,PERSON,Noah
genesis,9,22,PERSON,Canaan
genesis,9,23,PERSON,Shem
genesis,9,23,PERSON,Japheth
genesis,9,24,PERSON,Noah
genesis,9,25,OCCUPATION,slave
genesis,9,26,PERSON,Shem
genesis,9,26,PERSON,Canaan
genesis,9,26,OCCUPATION,slave
genesis,9,27,PERSON,Japheth
genesis,9,27,PERSON,Shem
genesis,9,27,PERSON,Canaan
genesis,9,27,OCCUPATION,slave
genesis,9,28,PERSON,Noah
genesis,9,28,DATE,350 years
genesis,9,29,PERSON,Noah
genesis,9,29,DATE,950 years
genesis,10,1,PERSON,Shem
genesis,10,1,PERSON,Japheth
genesis,10,1,ORG,Noahs
genesis,10,2,PERSON,Japheth
genesis,10,2,PERSON,Magog
genesis,10,2,PERSON,Tiras
genesis,10,2,GPE,Madai
genesis,10,2,GPE,Javan
genesis,10,2,GPE,Tubal
genesis,10,2,ORG,Meshech
genesis,10,3,PERSON,Gomer
genesis,10,3,PERSON,Ashkenaz
genesis,10,3,PERSON,Riphath
genesis,10,3,ORG,Togarmah
genesis,10,4,PERSON,Javan
genesis,10,4,PERSON,Kittim
genesis,10,4,GPE,Elishah
genesis,10,4,ORG,Dodanim
genesis,10,4,NORP,Tarshish
genesis,10,6,PERSON,Cush
genesis,10,6,PERSON,Mizraim
genesis,10,6,GPE,Canaan
genesis,10,7,PERSON,Cush
